Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-10-13 12:15:41,false,"York Running","1.01","59","00:04:26.4","153","165","1.9","171","184","4:24","3:34","--","10","1.33","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.75.6","2","0.0","00:04:25.6","00:04:26.4","13","26"
Running,2022-10-13 12:05:25,false,"York Running","2.01","123","00:09:25.2","159","171","2.4","166","184","4:41","3:51","9","14","1.28","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.57","3","0.0","00:09:10","00:09:38.3","10","22"
Running,2022-10-13 11:53:57,false,"York Running","2.68","151","00:11:04","153","168","2.7","172","184","4:08","3:34","6","17","1.40","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","02:49.33.7","3","0.0","00:10:59","00:11:06","11","25"
Running,2022-10-12 07:15:25,false,"York Running","6.00","391","00:31:06","162","191","3.4","170","237","5:11","3:54","37","37","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.12","7","0.0","00:30:50","00:34:00","7","25"
Running,2022-10-12 06:58:27,false,"York Running","2.82","162","00:13:34","148","190","2.5","169","178","4:48","3:56","20","24","1.23","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","03:57.30.7","3","0.0","00:13:10","00:14:44","12","24"
Running,2022-10-11 07:23:48,false,"York Running","1.01","68","00:05:14.0","171","181","1.9","169","178","5:12","4:51","13","3","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.58.8","2","0.0","00:05:13.6","00:05:14.0","11","24"
Running,2022-10-11 07:05:48,false,"York Running","4.01","237","00:17:21","165","186","3.2","174","184","4:19","3:22","25","16","1.33","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:03.47","5","0.0","00:17:19","00:17:21","10","24"
Running,2022-10-11 07:00:33,false,"York Running","1.01","53","00:04:44.1","132","147","1.4","166","176","4:40","3:59","--","11","1.29","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:03.36.8","2","0.0","00:04:43","00:04:44.1","13","25"
Running,2022-10-10 12:07:07,false,"York Running","6.57","390","00:30:02","161","187","3.8","171","184","4:34","4:00","43","45","1.28","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","02:33.63","7","0.0","00:29:47","00:31:12","7","25"
Running,2022-10-09 07:32:46,false,"York Running","14.40","941","01:13:45","166","191","4.7","170","182","5:07","4:09","85","87","1.15","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:59.36.1","15","0.0","01:13:17","01:15:12","5","34"
Indoor Cycling,2022-10-08 11:54:11,false,"Indoor Cycling","0.00","65","00:20:01","86","101","0.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","20:00.56.2","1","0.0","00:00:00","00:20:01","--","--"
Running,2022-10-07 12:25:01,false,"York Running","0.73","52","00:03:41.1","175","187","1.9","163","174","5:01","4:10","7","15","1.22","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","03:41.14.7","1","0.0","00:03:41","00:03:41.1","13","29"
Running,2022-10-07 12:06:31,false,"York Running","3.81","215","00:16:26","162","189","3.0","169","192","4:19","3:23","18","17","1.37","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:02.26.3","8","0.0","00:16:20","00:17:47","11","25"
Running,2022-10-07 12:01:19,false,"York Running","1.06","53","00:04:57.8","124","138","1.2","163","172","4:41","3:55","--","9","1.31","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:18.55.8","2","0.0","00:04:57.2","00:04:57.8","13","25"
Running,2022-10-06 11:51:39,false,"York Running","6.19","380","00:30:05","143","162","3.3","170","180","4:52","3:55","39","42","1.21","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:46.86.8","7","0.0","00:29:42","00:30:12","8","26"
Running,2022-10-04 16:05:43,false,"York Running","5.01","304","00:24:13","150","170","3.3","166","178","4:50","4:12","24","25","1.25","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:02.54.9","6","0.0","00:23:53","00:25:58","10","25"
Running,2022-10-03 15:56:52,false,"York Running","6.07","382","00:28:16","175","194","3.8","169","180","4:40","3:41","32","34","1.27","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:18.08.6","7","0.0","00:28:10","00:29:48","10","25"
Indoor Cycling,2022-10-03 11:45:41,false,"Indoor Cycling","0.00","105","00:20:07","102","126","0.4","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","20:07.08.9","1","0.0","00:00:00","00:20:48","--","--"
Running,2022-10-02 07:28:51,false,"York Running","13.01","930","01:06:34","178","198","5.0","170","180","5:07","4:23","50","50","1.15","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.36.8","14","0.0","01:06:13","01:09:05","5","26"
Running,2022-09-30 12:00:49,false,"York Running","0.22","17","00:01:17.5","165","171","0.4","152","167","5:59","5:17","--","25","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:17.51.7","1","0.0","00:01:17","00:01:17.5","22","47"
Running,2022-09-30 11:50:20,false,"York Running","2.01","131","00:09:00.3","174","185","2.7","169","184","4:29","3:33","5","6","1.31","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.81.2","3","0.0","00:08:50.7","00:09:32.8","13","24"
Running,2022-09-30 11:37:51,false,"York Running","2.76","156","00:12:07","148","186","2.5","172","190","4:24","3:21","7","20","1.32","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:32.97.8","5","0.0","00:12:05","00:12:07","10","25"
